Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.24     0.00     7814     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_deallocate_node(int*)
  0.00      0.24     0.00     7813     0.00     0.00  std::deque<int, std::allocator<int> >::size() const
  0.00      0.24     0.00     7813     0.00     0.00  std::deque<int, std::allocator<int> >::max_size() const
  0.00      0.24     0.00     7813     0.00     0.00  std::deque<int, std::allocator<int> >::_S_max_size(std::allocator<int> const&)
  0.00      0.24     0.00     7813     0.00     0.00  std::deque<int, std::allocator<int> >::_M_pop_front_aux()
  0.00      0.24     0.00     7813     0.00     0.00  void std::deque<int, std::allocator<int> >::_M_push_front_aux<int const&>(int const&)
  0.00      0.24     0.00     7813     0.00     0.00  std::deque<int, std::allocator<int> >::_M_reserve_map_at_front(unsigned long)
  0.00      0.24     0.00     7813     0.00     0.00  std::operator-(std::_Deque_iterator<int, int&, int*> const&, std::_Deque_iterator<int, int&, int*> const&)
  0.00      0.24     0.00       33     0.00     0.00  int** std::__niter_base<int**>(int**)
  0.00      0.24     0.00       24     0.00     0.00  __gnu_cxx::new_allocator<int*>::new_allocator()
  0.00      0.24     0.00       24     0.00     0.00  __gnu_cxx::new_allocator<int*>::~new_allocator()
  0.00      0.24     0.00       24     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_get_map_allocator() const
  0.00      0.24     0.00       24     0.00     0.00  std::allocator<int*>::allocator<int>(std::allocator<int> const&)
  0.00      0.24     0.00       24     0.00     0.00  std::allocator<int*>::~allocator()
  0.00      0.24     0.00       22     0.00     0.00  int** std::__miter_base<int**>(int**)
  0.00      0.24     0.00       12     0.00     0.00  __gnu_cxx::new_allocator<int*>::deallocate(int**, unsigned long)
  0.00      0.24     0.00       12     0.00     0.00  __gnu_cxx::new_allocator<int*>::allocate(unsigned long, void const*)
  0.00      0.24     0.00       12     0.00     0.00  __gnu_cxx::new_allocator<int*>::_M_max_size() const
  0.00      0.24     0.00       12     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_allocate_map(unsigned long)
  0.00      0.24     0.00       12     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_deallocate_map(int**, unsigned long)
  0.00      0.24     0.00       12     0.00     0.00  std::allocator_traits<std::allocator<int*> >::deallocate(std::allocator<int*>&, int**, unsigned long)
  0.00      0.24     0.00       12     0.00     0.00  std::allocator_traits<std::allocator<int*> >::allocate(std::allocator<int*>&, unsigned long)
  0.00      0.24     0.00       11     0.00     0.00  int** std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<int*>(int* const*, int* const*, int**)
  0.00      0.24     0.00       11     0.00     0.00  std::deque<int, std::allocator<int> >::_M_reallocate_map(unsigned long, bool)
  0.00      0.24     0.00       11     0.00     0.00  int** std::__niter_wrap<int**>(int** const&, int**)
  0.00      0.24     0.00       11     0.00     0.00  int** std::__copy_move_a<false, int**, int**>(int**, int**, int**)
  0.00      0.24     0.00       11     0.00     0.00  int** std::__copy_move_a1<false, int**, int**>(int**, int**, int**)
  0.00      0.24     0.00       11     0.00     0.00  int** std::__copy_move_a2<false, int**, int**>(int**, int**, int**)
  0.00      0.24     0.00       11     0.00     0.00  int** std::copy<int**, int**>(int**, int**, int**)
  0.00      0.24     0.00        6     0.00     0.00  __gnu_cxx::new_allocator<std::vector<int, std::allocator<int> > >::~new_allocator()
  0.00      0.24     0.00        6     0.00     0.00  std::allocator<std::vector<int, std::allocator<int> > >::~allocator()
  0.00      0.24     0.00        5     0.00     0.00  addEdge(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&, int, int)
  0.00      0.24     0.00        4     0.00     0.00  __gnu_cxx::new_allocator<std::vector<int, std::allocator<int> > >::new_allocator(__gnu_cxx::new_allocator<std::vector<int, std::allocator<int> > > const&)
  0.00      0.24     0.00        4     0.00     0.00  __gnu_cxx::new_allocator<std::vector<int, std::allocator<int> > >::_M_max_size() const
  0.00      0.24     0.00        4     0.00     0.00  std::allocator<std::vector<int, std::allocator<int> > >::allocator(std::allocator<std::vector<int, std::allocator<int> > > const&)
  0.00      0.24     0.00        4     0.00     0.00  std::_Vector_base<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_M_get_Tp_allocator()
  0.00      0.24     0.00        4     0.00     0.00  std::_Bit_iterator::_Bit_iterator()
  0.00      0.24     0.00        3     0.00     0.00  unsigned long* std::__addressof<unsigned long>(unsigned long&)
  0.00      0.24     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<std::vector<int, std::allocator<int> > >::deallocate(std::vector<int, std::allocator<int> >*, unsigned long)
  0.00      0.24     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<std::vector<int, std::allocator<int> > >::allocate(unsigned long, void const*)
  0.00      0.24     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<std::vector<int, std::allocator<int> > >::new_allocator()
  0.00      0.24     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<unsigned long>::~new_allocator()
  0.00      0.24     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<std::vector<int, std::allocator<int> > >::max_size() const
  0.00      0.24     0.00        2     0.00     0.00  std::_Bvector_base<std::allocator<bool> >::_Bvector_impl::_M_end_addr() const
  0.00      0.24     0.00        2     0.00     0.00  std::allocator<std::vector<int, std::allocator<int> > >::allocator()
  0.00      0.24     0.00        2     0.00     0.00  std::allocator<unsigned long>::~allocator()
  0.00      0.24     0.00        2     0.00     8.92  void std::_Destroy_aux<false>::__destroy<std::vector<int, std::allocator<int> >*>(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*)
